#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"
376000	-706.7984521780419	266.79169440403825	1.49e+03	108.57657527923584
377000	-736.6716705115582	297.63599121712804	1.49e+03	108.86336159706116
378000	-726.3495326098462	300.69260435541963	1.49e+03	109.1493353843689
379000	-701.6645570509027	297.4441094035437	1.49e+03	109.43539834022522
380000	-713.999285091187	313.0421584519863	1.49e+03	109.71773409843445
381000	-671.7050604739532	266.66698364986286	1.49e+03	109.99868774414062
382000	-701.4782574718847	285.21839458935597	1.49e+03	110.27857184410095
383000	-700.8781191361927	274.2244125380152	1.49e+03	110.56040740013123
384000	-712.0155477016397	281.5860536485693	1.49e+03	110.84466433525085
385000	-692.5148436813528	266.78398271630414	1.49e+03	111.13169288635254
386000	-760.0223109272597	308.135415403181	1.49e+03	111.41974782943726
387000	-725.163918360541	285.3176308762084	1.49e+03	111.7099711894989
388000	-697.8710438036694	253.14196785140413	1.49e+03	112.00219225883484
389000	-717.8709717128518	272.8053412296839	1.49e+03	112.29715037345886
